latitude,longitude,place_name,country_code,timezone
27.85,112.9,Xiangtan,CN,Asia/Shanghai
44.22639,22.53083,Negotin,RS,Europe/Belgrade
37.05944,37.3825,Gaziantep,TR,Europe/Istanbul
32.42067,-104.22884,Carlsbad,US,America/Denver
55.82737,-4.0573,Viewpark,GB,Europe/London
52.86147,9.5926,Walsrode,DE,Europe/Berlin
36.19278,117.65694,Laiwu,CN,Asia/Shanghai
35.85,117.7,Dongdu,CN,Asia/Shanghai
42.819,47.1192,Buynaksk,RU,Europe/Moscow
42.8334,-80.38297,Norfolk County,CA,America/Toronto
-31.4488,-60.93173,Esperanza,AR,America/Argentina/Cordoba
43.1122,12.38878,Perugia,IT,Europe/Rome
48.8449,17.22635,Skalica,SK,Europe/Bratislava
36.61954,4.08282,Beni Douala,DZ,Africa/Algiers
-37.88333,145.06667,Carnegie,AU,Australia/Melbourne
35.25064,-91.73625,Searcy,US,America/Chicago
40.65995,-111.99633,Kearns,US,America/Denver
57.97472,33.2525,Valday,RU,Europe/Moscow
55.63711,37.38115,Solntsevo,RU,Europe/Moscow
20.28527,-103.42897,Jocotepec,MX,America/Mexico_City
44.97639,19.61222,Sremska Mitrovica,RS,Europe/Belgrade
35.64889,117.27583,Sishui,CN,Asia/Shanghai
-7.01833,107.60389,Pameungpeuk,ID,Asia/Jakarta
29.65163,-82.32483,Gainesville,US,America/New_York
26.76628,83.36889,Gorakhpur,IN,Asia/Kolkata
41.94175,123.50266,Hushitai,CN,Asia/Shanghai
17.06542,-96.72365,Oaxaca,MX,America/Mexico_City
7.06273,-1.4001,Mampong,GH,Africa/Accra
31.28092,74.85849,Patti,IN,Asia/Kolkata
57.97472,33.2525,Valday,RU,Europe/Moscow
18.87813,72.93924,Uran,IN,Asia/Kolkata
46.08333,122.08333,Ulanhot,CN,Asia/Shanghai
46.23899,-63.13414,Charlottetown,CA,America/Halifax
30.16688,-96.39774,Brenham,US,America/Chicago
45.16024,-93.08883,Lino Lakes,US,America/Chicago
42.93369,-72.27814,Keene,US,America/New_York
36,139.55722,Okegawa,JP,Asia/Tokyo
42,21.32778,Saraj,MK,Europe/Skopje
